episode,episode_seed,episode_return,decision_count,normal_action_count,forced_action_count,random_action_count,policy_action_count,local_action_count,edge_action_count,cloud_action_count,drop_action_count,total_jobs,completed_jobs,dropped_jobs,unresolved_jobs,queued_jobs,started_from_waiting_jobs,waiting_timeout_drops,max_waiting_queue_length,remaining_waiting_jobs,simulation_end_time,episode_updates,global_decision_steps,global_normal_action_steps,replay_size,replay_trainable_size,replay_forced_size,masac_update_step,critic_loss,q1_loss,q2_loss,actor_loss,alpha_loss,alpha,policy_entropy,target_entropy,mean_q1,mean_q2,mean_target_q,wall_time_seconds,per_agent_returns
32,73,1445.6888733596074,1005,1005,0,0,1005,252,5,748,0,1000,974,26,0,111,86,25,21,0,14974.802058537025,1004,33513,33513,33513,33513,0,28516,20.213307077191267,9.9429748669801,10.270332192163544,-128.8142287569692,0.10641059736569089,0.3253180682659149,0.44178560156508745,0.5350121335679316,128.06886655495936,128.07435369301604,128.06728479301788,14.856660399993416,"{""DC-1"": 317.7598916960211, ""DC-2"": 357.9993563561538, ""DC-3"": 265.93000594903486, ""DC-4"": 235.70121542367798, ""DC-5"": 268.29840393472006}"
33,74,1438.609447632399,1005,1005,0,0,1005,286,5,714,0,1000,969,31,0,109,82,27,18,0,13339.074440832017,1004,34518,34518,34518,34518,0,29520,19.071135614972665,9.407424170894927,9.663711477085888,-130.3516357695439,0.10745619354673115,0.33921101689338684,0.4378234075597558,0.5352251357528793,129.54640007019043,129.543778962823,129.53548791589014,14.641581700008828,"{""DC-1"": 290.45037477675777, ""DC-2"": 298.22617476973437, ""DC-3"": 346.52661707567603, ""DC-4"": 221.05507678438605, ""DC-5"": 282.3512042258444}"
34,75,1427.9513812965856,1005,1005,0,0,1005,248,5,752,0,1000,971,29,0,103,79,24,14,0,12276.576775677322,1004,35523,35523,35523,35523,0,30524,17.779032630749434,8.766649217719575,9.012383425853168,-131.94162576986974,0.11495504744232175,0.3560143709182739,0.42636306767919624,0.5350753634099467,131.22213083244415,131.21708236937505,131.2199894194584,15.476474400027655,"{""DC-1"": 311.7898227699422, ""DC-2"": 279.39234912395773, ""DC-3"": 352.70626703133837, ""DC-4"": 227.36866670742643, ""DC-5"": 256.6942756639207}"
35,76,1512.2274824680187,1009,1009,0,0,1009,225,9,775,0,1000,984,16,0,77,63,14,6,0,11173.995198294466,1012,36532,36532,36532,36532,0,31536,18.552222094988164,9.103856437055489,9.448365650158154,-133.23924982123697,0.10999924846346906,0.37404486536979675,0.42622769314781006,0.5352986604564275,132.55530697366467,132.55356536081186,132.55224146484858,13.99276519997511,"{""DC-1"": 370.69911835145206, ""DC-2"": 316.3545870255442, ""DC-3"": 325.36715643846526, ""DC-4"": 230.413938135521, ""DC-5"": 269.3926825170376}"
36,77,1476.3443372108568,1008,1008,0,0,1008,232,8,768,0,1000,980,20,0,99,84,15,12,0,12719.824518194044,1008,37540,37540,37540,37540,0,32544,18.01010456917778,8.835949453806121,9.174155087461548,-134.39773677644274,0.10254154395725992,0.392422080039978,0.42840522054641966,0.5352773983327169,133.68040343693323,133.67667973230755,133.6774499681261,14.195693999994546,"{""DC-1"": 374.92639564430704, ""DC-2"": 312.1686838926138, ""DC-3"": 274.02268500245236, ""DC-4"": 235.06588427221806, ""DC-5"": 280.1606883992665}"
37,78,1550.884729453371,1007,1007,0,0,1007,217,7,783,0,1000,992,8,0,54,46,8,5,0,13443.487153549542,1004,38547,38547,38547,38547,0,33548,18.613935658656267,9.082918496720819,9.531017182832695,-135.37340755386657,0.08772004691075044,0.4100576937198639,0.4390527454030466,0.5350759030575771,134.71934725088903,134.7204594707109,134.71189658480336,13.8142596000107,"{""DC-1"": 342.9724996351855, ""DC-2"": 270.8800017140051, ""DC-3"": 336.56176636683637, ""DC-4"": 267.66021051137864, ""DC-5"": 332.81025122596606}"
38,79,1300.5579709681201,1010,1010,0,0,1010,286,10,714,0,1000,948,52,0,126,76,50,46,0,12935.336587157484,1012,39557,39557,39557,39557,0,34560,18.480700273287628,8.98575423333956,9.494946073402058,-136.5728646983271,0.05549043886411361,0.4237143397331238,0.4717453086211276,0.5351983075556548,135.88449957625195,135.88419272682884,135.87829972821262,14.390707699989434,"{""DC-1"": 357.0960811857899, ""DC-2"": 317.6016820094043, ""DC-3"": 306.91931107005297, ""DC-4"": 81.47168497575205, ""DC-5"": 237.46921172712277}"
39,80,1463.902861286673,1009,1009,0,0,1009,275,9,725,0,1000,974,26,0,101,79,22,18,0,12613.041789369021,1008,40566,40566,40566,40566,0,35568,19.510621855656307,9.485148731205198,10.025473145501953,-137.28487308441646,0.04000410351381149,0.4357374310493469,0.4878848103422021,0.535153321685299,136.73621610611204,136.73169057331387,136.7239351272583,13.805664200044703,"{""DC-1"": 292.98187853330427, ""DC-2"": 308.11495736823974, ""DC-3"": 352.39956738280455, ""DC-4"": 222.67350383613413, ""DC-5"": 287.73295416619135}"
40,81,1483.4643941782151,1008,1008,0,0,1008,321,8,679,0,1000,972,28,0,127,102,25,17,0,13934.791424195433,1008,41574,41574,41574,41574,0,36576,19.44741900572701,9.492247690520589,9.955171362038643,-137.96187988160148,0.03276434007571042,0.4478335976600647,0.49516792299728546,0.5352823198551223,137.3844078154791,137.38203056274898,137.38212067740304,13.722793900000397,"{""DC-1"": 373.1470408418652, ""DC-2"": 317.773468238316, ""DC-3"": 315.53662493755394, ""DC-4"": 234.6403409465422, ""DC-5"": 242.3669192139394}"
41,82,1459.9484718362314,1021,1021,0,0,1021,283,21,717,0,1000,973,27,0,102,77,25,10,0,12818.782624064352,1020,42595,42595,42595,42595,0,37596,17.621514179659826,8.582134102372562,9.039380027266109,-138.6037155749751,0.014848134292782669,0.4547000527381897,0.5164762170291415,0.5352209986424914,138.00933255962298,138.004536856857,138.01086259729723,13.954290200024843,"{""DC-1"": 380.29536008233634, ""DC-2"": 246.69510248365125, ""DC-3"": 341.04646561651384, ""DC-4"": 248.9151253286942, ""DC-5"": 242.9964183250359}"
